Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 06, 2014","Las Vegas, Nevada, USA",win,Robbie Lawler,Johny Hendricks,0,0,116,111,0,5,0,1,Welterweight,S-DEC,,5,5:00
"December 06, 2014","Las Vegas, Nevada, USA",win,Anthony Pettis,Gilbert Melendez,0,0,30,27,0,1,1,0,Lightweight,SUB,Guillotine Choke,2,1:53
"December 06, 2014","Las Vegas, Nevada, USA",win,Travis Browne,Brendan Schaub,0,0,25,5,1,1,0,0,Heavyweight,KO/TKO,Punches,1,4:50
"December 06, 2014","Las Vegas, Nevada, USA",win,Todd Duffee,Anthony Hamilton,1,0,8,2,0,0,0,0,Heavyweight,KO/TKO,Punch,1,0:33
"December 06, 2014","Las Vegas, Nevada, USA",win,Tony Ferguson,Abel Trujillo,0,1,20,15,1,2,1,0,Lightweight,SUB,Rear Naked Choke,2,4:19
"December 06, 2014","Las Vegas, Nevada, USA",win,Urijah Faber,Francisco Rivera,1,0,19,15,0,0,1,0,Bantamweight,SUB,Bulldog Choke,2,1:34
"December 06, 2014","Las Vegas, Nevada, USA",win,Josh Samman,Eddie Gordon,1,0,11,8,1,2,0,0,Middleweight,KO/TKO,Kick,2,3:08
"December 06, 2014","Las Vegas, Nevada, USA",win,Corey Anderson,Justin Jones,0,0,45,28,7,0,0,1,Light Heavyweight,U-DEC,,3,5:00
"December 06, 2014","Las Vegas, Nevada, USA",win,Raquel Pennington,Ashlee Evans-Smith,0,0,5,11,1,1,1,0,Women's Bantamweight,SUB,Bulldog Choke,1,4:59
"December 06, 2014","Las Vegas, Nevada, USA",win,Sergio Pettis,Matt Hobar,0,1,78,36,0,2,2,0,Bantamweight,U-DEC,,3,5:00
"December 06, 2014","Las Vegas, Nevada, USA",win,Clay Collard,Alex White,1,0,60,58,3,1,2,1,Featherweight,U-DEC,,3,5:00
