Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 02, 2021","Las Vegas, Nevada, USA",win,Thiago Santos,Johnny Walker,0,0,44,48,0,0,0,0,Light Heavyweight,U-DEC,,5,5:00
"October 02, 2021","Las Vegas, Nevada, USA",ncnc,Kevin Holland,Kyle Daukaus,0,0,3,9,0,1,0,3,Middleweight,Overturned,,1,3:43
"October 02, 2021","Las Vegas, Nevada, USA",win,Niko Price,Alex Oliveira,0,0,64,65,1,1,0,0,Welterweight,U-DEC,,3,5:00
"October 02, 2021","Las Vegas, Nevada, USA",win,Krzysztof Jotko,Misha Cirkunov,0,0,41,41,1,5,0,0,Middleweight,S-DEC,,3,5:00
"October 02, 2021","Las Vegas, Nevada, USA",win,Alexander Hernandez,Mike Breeden,1,0,20,6,0,0,0,0,Lightweight,KO/TKO,Punch,1,1:20
"October 02, 2021","Las Vegas, Nevada, USA",win,Jared Gordon,Joe Solecki,0,0,51,38,1,4,0,0,Lightweight,S-DEC,,3,5:00
"October 02, 2021","Las Vegas, Nevada, USA",win,Casey O'Neill,Antonina Shevchenko,0,0,52,40,3,0,0,0,Women's Flyweight,KO/TKO,Punches,2,4:47
"October 02, 2021","Las Vegas, Nevada, USA",win,Karol Rosa,Bethe Correia,0,0,125,62,0,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
"October 02, 2021","Las Vegas, Nevada, USA",win,Jamie Mullarkey,Devonte Smith,1,0,55,29,1,0,0,0,Lightweight,KO/TKO,Punches,2,2:51
"October 02, 2021","Las Vegas, Nevada, USA",win,Douglas Silva de Andrade,Gaetano Pirrello,1,0,10,5,0,0,0,0,Bantamweight,KO/TKO,Punch,1,2:04
"October 02, 2021","Las Vegas, Nevada, USA",win,Stephanie Egger,Shanna Young,0,0,29,22,2,0,0,2,Women's Bantamweight,KO/TKO,Elbow,2,2:22
"October 02, 2021","Las Vegas, Nevada, USA",win,Alejandro Perez,Johnny Eduardo,0,0,23,31,1,1,2,0,Bantamweight,SUB,Armbar,2,4:13
