Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 19, 2020","Las Vegas, Nevada, USA",win,Stephen Thompson,Geoff Neal,0,0,171,85,0,0,0,0,Welterweight,U-DEC,,5,5:00
"December 19, 2020","Las Vegas, Nevada, USA",win,Jose Aldo,Marlon Vera,0,0,44,46,0,0,0,0,Bantamweight,U-DEC,,3,5:00
"December 19, 2020","Las Vegas, Nevada, USA",win,Michel Pereira,Khaos Williams,0,0,44,55,2,0,1,0,Welterweight,U-DEC,,3,5:00
"December 19, 2020","Las Vegas, Nevada, USA",win,Rob Font,Marlon Moraes,1,0,30,9,0,2,0,0,Bantamweight,KO/TKO,Punches,1,3:47
"December 19, 2020","Las Vegas, Nevada, USA",win,Marcin Tybura,Greg Hardy,0,0,51,50,1,0,0,0,Heavyweight,KO/TKO,Punches,2,4:31
"December 19, 2020","Las Vegas, Nevada, USA",win,Anthony Pettis,Alex Morono,0,0,50,31,0,1,0,0,Welterweight,U-DEC,,3,5:00
"December 19, 2020","Las Vegas, Nevada, USA",win,Pannie Kianzad,Sijara Eubanks,0,0,92,49,0,2,0,0,Women's Bantamweight,U-DEC,,3,5:00
"December 19, 2020","Las Vegas, Nevada, USA",win,Deron Winn,Antonio Arroyo,0,0,20,45,12,0,0,0,Catch Weight,U-DEC,,3,5:00
"December 19, 2020","Las Vegas, Nevada, USA",win,Taila Santos,Gillian Robertson,0,0,27,9,1,0,1,1,Women's Flyweight,U-DEC,,3,5:00
"December 19, 2020","Las Vegas, Nevada, USA",win,Tafon Nchukwi,Jamie Pickett,1,0,120,40,0,1,0,0,Middleweight,U-DEC,,3,5:00
"December 19, 2020","Las Vegas, Nevada, USA",win,Jimmy Flick,Cody Durden,0,0,6,21,0,2,1,0,Flyweight,SUB,Triangle Choke,1,3:18
"December 19, 2020","Las Vegas, Nevada, USA",win,Christos Giagos,Carlton Minus,0,0,31,28,5,0,0,0,Catch Weight,U-DEC,,3,5:00
