Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 24, 2021","Las Vegas, Nevada, USA",win,TJ Dillashaw,Cory Sandhagen,0,0,110,128,2,0,0,1,Bantamweight,S-DEC,,5,5:00
"July 24, 2021","Las Vegas, Nevada, USA",win,Raulian Paiva,Kyler Phillips,0,1,51,74,2,4,0,0,Bantamweight,M-DEC,,3,5:00
"July 24, 2021","Las Vegas, Nevada, USA",win,Darren Elkins,Darrick Minner,0,0,20,19,1,2,0,3,Featherweight,KO/TKO,Punches,2,3:48
"July 24, 2021","Las Vegas, Nevada, USA",win,Maycee Barber,Miranda Maverick,0,0,36,47,1,1,0,0,Women's Flyweight,S-DEC,,3,5:00
"July 24, 2021","Las Vegas, Nevada, USA",win,Adrian Yanez,Randy Costa,1,0,64,69,0,0,0,0,Bantamweight,KO/TKO,Punches,2,2:11
"July 24, 2021","Las Vegas, Nevada, USA",win,Brendan Allen,Punahele Soriano,0,0,94,66,0,0,0,0,Middleweight,U-DEC,,3,5:00
"July 24, 2021","Las Vegas, Nevada, USA",win,Nassourdine Imavov,Ian Heinisch,0,0,39,24,1,0,0,0,Middleweight,KO/TKO,Punches,2,3:09
"July 24, 2021","Las Vegas, Nevada, USA",win,Mickey Gall,Jordan Williams,0,0,11,13,1,1,2,0,Welterweight,SUB,Rear Naked Choke,1,2:57
"July 24, 2021","Las Vegas, Nevada, USA",win,Julio Arce,Andre Ewell,0,0,42,31,0,0,0,0,Bantamweight,KO/TKO,Punches,2,3:45
"July 24, 2021","Las Vegas, Nevada, USA",win,Sijara Eubanks,Elise Reed,0,0,22,1,1,0,0,0,Women's Flyweight,KO/TKO,Punches,1,3:49
"July 24, 2021","Las Vegas, Nevada, USA",win,Diana Belbita,Hannah Goldy,1,0,117,92,0,2,0,0,Women's Strawweight,U-DEC,,3,5:00
