Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"January 04, 2014","Singapore, Singapore",win,Tarec Saffiedine,Hyun Gyu Lim,3,0,120,122,1,0,1,1,Welterweight,U-DEC,,5,5:00
"January 04, 2014","Singapore, Singapore",win,Tatsuya Kawajiri,Sean Soriano,0,0,32,19,3,0,1,0,Featherweight,SUB,Rear Naked Choke,2,0:50
"January 04, 2014","Singapore, Singapore",win,Kiichi Kunimoto,Luiz Dutra,0,0,12,10,0,0,0,0,Welterweight,DQ,,1,2:57
"January 04, 2014","Singapore, Singapore",win,Kyung Ho Kang,Shunichi Shimizu,0,0,65,2,2,0,4,0,Bantamweight,SUB,Arm Triangle,3,3:53
"January 04, 2014","Singapore, Singapore",win,Max Holloway,Will Chope,2,0,74,33,0,0,0,0,Featherweight,KO/TKO,Punch,2,2:27
"January 04, 2014","Singapore, Singapore",win,Katsunori Kikuno,Quinn Mulhern,0,0,23,16,3,0,0,0,Lightweight,U-DEC,,3,5:00
"January 04, 2014","Singapore, Singapore",win,Royston Wee,Dave Galera,0,0,8,25,6,0,0,2,Bantamweight,U-DEC,,3,5:00
"January 04, 2014","Singapore, Singapore",win,Mairbek Taisumov,Tae Hyun Bang,0,0,33,26,5,0,0,0,Lightweight,U-DEC,,3,5:00
"January 04, 2014","Singapore, Singapore",win,Dustin Kimura,Jon Delos Reyes,0,1,1,9,0,1,1,0,Bantamweight,SUB,Armbar,1,2:13
"January 04, 2014","Singapore, Singapore",win,Russell Doane,Leandro Issa,0,0,43,17,0,2,1,1,Bantamweight,SUB,Triangle Choke,2,4:59
