Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 10, 2019","Montevideo, Uruguay",win,Valentina Shevchenko,Liz Carmouche,0,0,42,18,1,0,0,0,Women's Flyweight,U-DEC,,5,5:00
"August 10, 2019","Montevideo, Uruguay",win,Vicente Luque,Mike Perry,0,0,84,87,0,0,1,0,Welterweight,S-DEC,,3,5:00
"August 10, 2019","Montevideo, Uruguay",win,Eduardo Garagorri,Humberto Bandenay,0,0,65,32,1,4,0,0,Featherweight,U-DEC,,3,5:00
"August 10, 2019","Montevideo, Uruguay",win,Volkan Oezdemir,Ilir Latifi,2,0,64,18,0,1,0,0,Light Heavyweight,KO/TKO,Punch,2,4:31
"August 10, 2019","Montevideo, Uruguay",win,Rodolfo Vieira,Oskar Piechota,0,0,18,22,3,0,1,0,Middleweight,SUB,Arm Triangle,2,4:26
"August 10, 2019","Montevideo, Uruguay",win,Enrique Barzola,Bobby Moffett,0,0,83,90,3,0,0,0,Featherweight,S-DEC,,3,5:00
"August 10, 2019","Montevideo, Uruguay",win,Gilbert Burns,Aleksei Kunchenko,0,0,42,47,3,0,0,0,Welterweight,U-DEC,,3,5:00
"August 10, 2019","Montevideo, Uruguay",win,Ciryl Gane,Raphael Pessoa,0,0,15,7,0,0,1,0,Heavyweight,SUB,Arm Triangle,1,4:12
"August 10, 2019","Montevideo, Uruguay",win,Marina Rodriguez,Tecia Pennington,0,0,84,41,1,0,1,0,Women's Strawweight,U-DEC,,3,5:00
"August 10, 2019","Montevideo, Uruguay",win,Rogerio Bontorin,Raulian Paiva,0,0,8,3,2,0,0,0,Flyweight,KO/TKO,,1,2:56
"August 10, 2019","Montevideo, Uruguay",win,Chris Gutierrez,Geraldo de Freitas,0,0,48,40,1,2,0,0,Bantamweight,S-DEC,,3,5:00
"August 10, 2019","Montevideo, Uruguay",win,Alex Da Silva,Kazula Vargas,0,0,17,20,3,0,0,0,Lightweight,U-DEC,,3,5:00
"August 10, 2019","Montevideo, Uruguay",win,Veronica Hardy,Polyana Viana,0,0,1,1,0,1,1,0,Women's Flyweight,SUB,Armbar,1,1:09
