Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 19, 2016","Brisbane, Queensland, Australia",win,Mark Hunt,Frank Mir,1,0,8,1,0,0,0,0,Heavyweight,KO/TKO,Punch,1,3:01
"March 19, 2016","Brisbane, Queensland, Australia",win,Neil Magny,Hector Lombard,0,2,148,60,1,1,2,0,Welterweight,KO/TKO,Punches,3,0:46
"March 19, 2016","Brisbane, Queensland, Australia",win,Jake Matthews,Johnny Case,0,0,36,35,0,1,2,0,Lightweight,SUB,Rear Naked Choke,3,4:45
"March 19, 2016","Brisbane, Queensland, Australia",win,Daniel Kelly,Antonio Carlos Junior,0,0,37,33,0,2,0,0,Middleweight,KO/TKO,Punches,3,1:36
"March 19, 2016","Brisbane, Queensland, Australia",win,Steve Bosse,James Te Huna,1,0,5,1,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,0:52
"March 19, 2016","Brisbane, Queensland, Australia",win,Bec Rawlings,Seo Hee Ham,0,0,77,92,1,0,0,1,Women's Strawweight,U-DEC,,3,5:00
"March 19, 2016","Brisbane, Queensland, Australia",win,Alan Jouban,Brendan O'Reilly,1,0,32,8,0,1,0,0,Welterweight,KO/TKO,Elbow,1,2:15
"March 19, 2016","Brisbane, Queensland, Australia",win,Dan Hooker,Mark Eddiva,0,0,5,4,0,0,1,0,Featherweight,SUB,Guillotine Choke,1,1:24
"March 19, 2016","Brisbane, Queensland, Australia",win,Leslie Smith,Rin Nakai,0,0,62,31,0,3,0,1,Women's Bantamweight,U-DEC,,3,5:00
"March 19, 2016","Brisbane, Queensland, Australia",win,Viscardi Andrade,Richard Walsh,0,1,38,46,5,1,1,0,Welterweight,U-DEC,,3,5:00
"March 19, 2016","Brisbane, Queensland, Australia",win,Ross Pearson,Chad Laprise,0,0,52,78,0,0,0,0,Lightweight,S-DEC,,3,5:00
"March 19, 2016","Brisbane, Queensland, Australia",win,Alan Patrick,Damien Brown,0,0,25,15,5,1,1,1,Lightweight,U-DEC,,3,5:00
