Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 16, 2016","Tampa, Florida, USA",win,Glover Teixeira,Rashad Evans,1,0,6,7,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,1:48
"April 16, 2016","Tampa, Florida, USA",win,Rose Namajunas,Tecia Pennington,0,0,46,61,2,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"April 16, 2016","Tampa, Florida, USA",win,Khabib Nurmagomedov,Darrell Horcher,0,0,75,6,2,0,0,0,Catch Weight,KO/TKO,Punches,2,3:38
"April 16, 2016","Tampa, Florida, USA",win,Cub Swanson,Hacran Dias,2,0,83,55,0,0,0,0,Featherweight,U-DEC,,3,5:00
"April 16, 2016","Tampa, Florida, USA",win,Michael Chiesa,Beneil Dariush,0,0,11,27,1,1,2,0,Lightweight,SUB,Rear Naked Choke,2,1:20
"April 16, 2016","Tampa, Florida, USA",win,Raquel Pennington,Bethe Correia,0,0,75,66,0,0,0,0,Women's Bantamweight,S-DEC,,3,5:00
"April 16, 2016","Tampa, Florida, USA",win,Santiago Ponzinibbio,Court McGee,1,0,38,35,0,0,0,0,Welterweight,KO/TKO,Punch,1,4:15
"April 16, 2016","Tampa, Florida, USA",win,Michael Graves,Randy Brown,0,0,11,10,2,0,1,1,Welterweight,SUB,Rear Naked Choke,2,2:31
"April 16, 2016","Tampa, Florida, USA",win,John Dodson,Manvel Gamburyan,1,0,16,2,0,0,0,0,Bantamweight,KO/TKO,Punches,1,0:37
"April 16, 2016","Tampa, Florida, USA",win,Cezar Ferreira,Oluwale Bamgbose,0,1,26,20,3,0,0,0,Middleweight,U-DEC,,3,5:00
"April 16, 2016","Tampa, Florida, USA",win,Elizeu Zaleski dos Santos,Omari Akhmedov,0,0,72,36,0,3,1,1,Welterweight,KO/TKO,Knee,3,3:03
