Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 09, 2019","Wichita, Kansas, USA",win,Junior Dos Santos,Derrick Lewis,1,0,29,7,0,0,0,0,Heavyweight,KO/TKO,Punches,2,1:58
"March 09, 2019","Wichita, Kansas, USA",win,Elizeu Zaleski dos Santos,Curtis Millender,0,0,6,0,1,0,1,0,Welterweight,SUB,Rear Naked Choke,1,2:35
"March 09, 2019","Wichita, Kansas, USA",win,Niko Price,Tim Means,1,0,32,31,0,1,0,0,Welterweight,KO/TKO,Punch,1,4:50
"March 09, 2019","Wichita, Kansas, USA",win,Blagoy Ivanov,Ben Rothwell,0,0,72,70,0,0,0,0,Heavyweight,U-DEC,,3,5:00
"March 09, 2019","Wichita, Kansas, USA",win,Beneil Dariush,Drew Dober,0,0,37,31,2,0,1,0,Lightweight,SUB,Armbar,2,4:41
"March 09, 2019","Wichita, Kansas, USA",win,Omari Akhmedov,Tim Boetsch,0,0,52,41,0,0,0,0,Middleweight,U-DEC,,3,5:00
"March 09, 2019","Wichita, Kansas, USA",win,Anthony Rocco Martin,Sergio Moraes,0,0,50,19,0,3,0,0,Welterweight,U-DEC,,3,5:00
"March 09, 2019","Wichita, Kansas, USA",win,Yana Santos,Marion Reneau,0,0,98,58,1,1,0,0,Women's Bantamweight,U-DEC,,3,5:00
"March 09, 2019","Wichita, Kansas, USA",win,Grant Dawson,Julian Erosa,0,0,57,49,6,0,1,1,Featherweight,U-DEC,,3,5:00
"March 09, 2019","Wichita, Kansas, USA",win,Maurice Greene,Jeff Hughes,0,0,70,66,0,0,0,0,Heavyweight,S-DEC,,3,5:00
"March 09, 2019","Wichita, Kansas, USA",win,Matt Schnell,Louis Smolka,0,0,14,13,1,0,2,0,Bantamweight,SUB,Triangle Choke,1,3:18
"March 09, 2019","Wichita, Kansas, USA",win,Alex Morono,Zak Ottow,0,0,25,10,0,1,1,0,Welterweight,KO/TKO,Elbows,1,3:34
"March 09, 2019","Wichita, Kansas, USA",win,Alex White,Dan Moret,0,0,49,42,2,1,3,0,Lightweight,U-DEC,,3,5:00
