Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 16, 2017","Winnipeg, Manitoba, Canada",win,Rafael Dos Anjos,Robbie Lawler,0,0,172,86,2,0,0,0,Welterweight,U-DEC,,5,5:00
"December 16, 2017","Winnipeg, Manitoba, Canada",win,Josh Emmett,Ricardo Lamas,1,0,10,17,0,0,0,0,Featherweight,KO/TKO,Punch,1,4:33
"December 16, 2017","Winnipeg, Manitoba, Canada",win,Santiago Ponzinibbio,Mike Perry,1,0,78,51,3,1,0,0,Welterweight,U-DEC,,3,5:00
"December 16, 2017","Winnipeg, Manitoba, Canada",win,Glover Teixeira,Misha Cirkunov,0,0,13,21,1,0,1,0,Light Heavyweight,KO/TKO,Punches,1,2:45
"December 16, 2017","Winnipeg, Manitoba, Canada",win,Jan Blachowicz,Jared Cannonier,1,0,50,26,4,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"December 16, 2017","Winnipeg, Manitoba, Canada",win,Julian Marquez,Darren Stewart,0,0,32,33,0,4,3,0,Middleweight,SUB,Guillotine Choke,2,2:42
"December 16, 2017","Winnipeg, Manitoba, Canada",win,Chad Laprise,Galore Bofando,0,1,20,13,1,0,0,0,Welterweight,KO/TKO,Punches,1,4:10
"December 16, 2017","Winnipeg, Manitoba, Canada",win,Nordine Taleb,Danny Roberts,1,0,5,1,0,0,0,0,Welterweight,KO/TKO,Kick,1,0:59
"December 16, 2017","Winnipeg, Manitoba, Canada",win,John Makdessi,Abel Trujillo,1,0,47,29,0,1,0,0,Lightweight,U-DEC,,3,5:00
"December 16, 2017","Winnipeg, Manitoba, Canada",win,Alessio Di Chirico,Oluwale Bamgbose,1,0,6,10,1,0,0,0,Middleweight,KO/TKO,Knee,2,2:14
"December 16, 2017","Winnipeg, Manitoba, Canada",win,Jordan Mein,Erick Silva,0,0,51,13,3,0,1,0,Welterweight,U-DEC,,3,5:00
