Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 06, 2013","Brisbane, Queensland, Australia",drawdraw,Mark Hunt,Antonio Silva,1,1,103,97,2,0,0,0,Heavyweight,M-DEC,,5,5:00
"December 06, 2013","Brisbane, Queensland, Australia",win,Mauricio Rua,James Te Huna,1,0,9,1,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,1:03
"December 06, 2013","Brisbane, Queensland, Australia",win,Ryan Bader,Anthony Perosh,0,0,70,9,3,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"December 06, 2013","Brisbane, Queensland, Australia",win,Soa Palelei,Pat Barry,0,0,12,1,1,0,0,0,Heavyweight,KO/TKO,Punches,1,2:09
"December 06, 2013","Brisbane, Queensland, Australia",win,Clint Hester,Dylan Andrews,0,0,27,13,1,2,0,0,Middleweight,KO/TKO,,2,5:00
"December 06, 2013","Brisbane, Queensland, Australia",win,Bethe Correia,Julie Kedzie,0,0,65,54,1,0,0,0,Women's Bantamweight,S-DEC,,3,5:00
"December 06, 2013","Brisbane, Queensland, Australia",win,Takeya Mizugaki,Nam Phan,0,0,152,100,3,0,0,0,Bantamweight,U-DEC,,3,5:00
"December 06, 2013","Brisbane, Queensland, Australia",win,Caio Magalhaes,Nick Ring,0,0,32,30,0,3,0,1,Middleweight,U-DEC,,3,5:00
"December 06, 2013","Brisbane, Queensland, Australia",win,Justin Scoggins,Richie Vaculik,0,0,27,2,2,0,0,0,Flyweight,KO/TKO,Punches,1,4:43
"December 06, 2013","Brisbane, Queensland, Australia",win,Krzysztof Jotko,Bruno Santos,0,0,17,12,1,1,0,1,Middleweight,U-DEC,,3,5:00
"December 06, 2013","Brisbane, Queensland, Australia",win,Alex Garcia,Ben Wall,1,0,9,1,0,0,0,0,Welterweight,KO/TKO,Punch,1,0:43
