Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 17, 2018","London, England, United Kingdom",win,Alexander Volkov,Fabricio Werdum,1,0,48,48,2,3,0,0,Heavyweight,KO/TKO,Punch,4,1:38
"March 17, 2018","London, England, United Kingdom",win,Jan Blachowicz,Jimi Manuwa,1,0,97,37,1,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"March 17, 2018","London, England, United Kingdom",win,Tom Duquesnoy,Terrion Ware,0,0,67,85,0,2,0,0,Bantamweight,U-DEC,,3,5:00
"March 17, 2018","London, England, United Kingdom",win,Leon Edwards,Peter Sobotta,1,0,42,16,1,1,0,0,Welterweight,KO/TKO,Punch,3,4:59
"March 17, 2018","London, England, United Kingdom",win,Charles Byrd,John Phillips,0,0,11,0,1,0,1,0,Middleweight,SUB,Rear Naked Choke,1,3:58
"March 17, 2018","London, England, United Kingdom",win,Danny Roberts,Oliver Enkamp,1,0,4,7,0,0,0,0,Welterweight,KO/TKO,Punch,1,2:12
"March 17, 2018","London, England, United Kingdom",win,Danny Henry,Hakeem Dawodu,1,0,2,3,0,0,1,0,Featherweight,SUB,Guillotine Choke,1,0:39
"March 17, 2018","London, England, United Kingdom",win,Paul Craig,Magomed Ankalaev,0,0,18,59,2,0,1,0,Light Heavyweight,SUB,Triangle Choke,3,4:59
"March 17, 2018","London, England, United Kingdom",win,Kajan Johnson,Stevie Ray,0,0,33,24,2,3,0,1,Lightweight,S-DEC,,3,5:00
"March 17, 2018","London, England, United Kingdom",win,Dmitry Sosnovskiy,Mark Godbeer,0,0,28,24,2,0,2,0,Heavyweight,SUB,Rear Naked Choke,2,4:29
