Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 05, 2024","Salt Lake City, Utah, USA",win,Alex Pereira,Khalil Rountree Jr.,1,0,127,61,0,0,0,0,Light Heavyweight,KO/TKO,Punch,4,4:32
"October 05, 2024","Salt Lake City, Utah, USA",win,Julianna Pena,Raquel Pennington,0,1,92,92,2,0,1,0,Women's Bantamweight,S-DEC,,5,5:00
"October 05, 2024","Salt Lake City, Utah, USA",win,Mario Bautista,Jose Aldo,0,0,49,51,0,0,0,0,Bantamweight,S-DEC,,3,5:00
"October 05, 2024","Salt Lake City, Utah, USA",win,Roman Dolidze,Kevin Holland,0,0,19,18,1,0,0,0,Middleweight,KO/TKO,,1,5:00
"October 05, 2024","Salt Lake City, Utah, USA",win,Kayla Harrison,Ketlen Vieira,0,0,55,24,2,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
"October 05, 2024","Salt Lake City, Utah, USA",win,Joaquin Buckley,Stephen Thompson,1,0,34,49,4,0,0,0,Welterweight,KO/TKO,Punch,3,2:17
"October 05, 2024","Salt Lake City, Utah, USA",win,Iasmin Lucindo,Marina Rodriguez,0,0,30,33,3,1,0,0,Women's Strawweight,S-DEC,,3,5:00
"October 05, 2024","Salt Lake City, Utah, USA",win,Alexander Hernandez,Austin Hubbard,0,0,79,63,0,0,0,0,Lightweight,S-DEC,,3,5:00
"October 05, 2024","Salt Lake City, Utah, USA",win,Cesar Almeida,Ihor Potieria,0,0,57,44,0,3,1,0,Middleweight,U-DEC,,3,5:00
"October 05, 2024","Salt Lake City, Utah, USA",win,Ryan Spann,Ovince Saint Preux,0,0,9,7,0,0,1,0,Light Heavyweight,SUB,Guillotine Choke,1,1:35
"October 05, 2024","Salt Lake City, Utah, USA",win,Tecia Pennington,Carla Esparza,0,0,80,39,0,4,0,0,Women's Strawweight,U-DEC,,3,5:00
"October 05, 2024","Salt Lake City, Utah, USA",win,Court McGee,Tim Means,0,0,14,5,1,0,1,0,Welterweight,SUB,Rear Naked Choke,1,3:19
