Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"September 02, 2023","Paris, Ile-de-France, France",win,Ciryl Gane,Serghei Spivac,0,0,109,11,0,0,0,0,Heavyweight,KO/TKO,Punches,2,3:44
"September 02, 2023","Paris, Ile-de-France, France",win,Manon Fiorot,Rose Namajunas,0,0,58,60,0,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"September 02, 2023","Paris, Ile-de-France, France",win,Benoit Saint Denis,Thiago Moises,0,0,101,24,5,1,0,1,Lightweight,KO/TKO,Punches,2,4:44
"September 02, 2023","Paris, Ile-de-France, France",win,Volkan Oezdemir,Bogdan Guskov,1,0,26,8,1,0,1,0,Light Heavyweight,SUB,Rear Naked Choke,1,3:46
"September 02, 2023","Paris, Ile-de-France, France",win,William Gomis,Yanis Ghemmouri,0,0,52,28,0,0,2,0,Featherweight,KO/TKO,Kick,3,2:20
"September 02, 2023","Paris, Ile-de-France, France",win,Morgan Charriere,Manolo Zecchini,1,0,26,9,0,0,0,0,Featherweight,KO/TKO,Kicks,1,3:51
"September 02, 2023","Paris, Ile-de-France, France",win,Taylor Lapilus,Caolan Loughran,0,0,84,48,0,2,0,0,Bantamweight,U-DEC,,3,5:00
"September 02, 2023","Paris, Ile-de-France, France",win,Ange Loosa,Rhys McKee,0,0,98,77,6,0,0,0,Welterweight,U-DEC,,3,5:00
"September 02, 2023","Paris, Ile-de-France, France",win,Nora Cornolle,Joselyne Edwards,0,0,40,18,0,5,0,1,Women's Bantamweight,U-DEC,,3,5:00
"September 02, 2023","Paris, Ile-de-France, France",win,Farid Basharat,Kleydson Rodrigues,0,0,4,7,2,0,1,0,Bantamweight,SUB,Arm Triangle,1,4:15
"September 02, 2023","Paris, Ile-de-France, France",win,Jacqueline Cavalcanti,Zarah Fairn,0,0,126,39,0,0,0,0,Catch Weight,U-DEC,,3,5:00
