Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 18, 2015","Glasgow, Scotland, United Kingdom",win,Michael Bisping,Thales Leites,0,0,115,79,0,1,0,0,Middleweight,S-DEC,,5,5:00
"July 18, 2015","Glasgow, Scotland, United Kingdom",win,Evan Dunham,Ross Pearson,0,0,26,16,5,0,1,0,Lightweight,U-DEC,,3,5:00
"July 18, 2015","Glasgow, Scotland, United Kingdom",win,Joe Duffy,Ivan Jorge,0,0,8,7,0,0,1,0,Lightweight,SUB,Triangle Choke,1,3:05
"July 18, 2015","Glasgow, Scotland, United Kingdom",win,Joanne Wood,Cortney Casey,1,0,90,57,3,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"July 18, 2015","Glasgow, Scotland, United Kingdom",win,Leon Edwards,Pawel Pawlak,1,0,36,24,0,0,0,0,Welterweight,U-DEC,,3,5:00
"July 18, 2015","Glasgow, Scotland, United Kingdom",win,Stevie Ray,Leonardo Mafra,1,0,19,23,0,0,0,0,Lightweight,KO/TKO,Punches,1,2:30
"July 18, 2015","Glasgow, Scotland, United Kingdom",win,Paddy Holohan,Vaughan Lee,0,0,28,27,1,0,2,1,Flyweight,U-DEC,,3,5:00
"July 18, 2015","Glasgow, Scotland, United Kingdom",win,Ilir Latifi,Hans Stringer,1,0,7,2,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,0:56
"July 18, 2015","Glasgow, Scotland, United Kingdom",win,Mickael Lebout,Teemu Packalen,0,0,43,35,0,3,0,1,Lightweight,U-DEC,,3,5:00
"July 18, 2015","Glasgow, Scotland, United Kingdom",win,Robert Whiteford,Paul Redmond,1,0,20,11,0,0,0,0,Featherweight,KO/TKO,Punch,1,3:04
"July 18, 2015","Glasgow, Scotland, United Kingdom",win,Jimmie Rivera,Marcus Brimage,1,0,15,9,0,0,0,0,Bantamweight,KO/TKO,Punches,1,1:29
"July 18, 2015","Glasgow, Scotland, United Kingdom",win,Daniel Omielanczuk,Chris de la Rocha,1,0,15,1,0,0,0,0,Heavyweight,KO/TKO,Punch,1,0:48
