Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"December 11, 2021","Las Vegas, Nevada, USA",win,Charles Oliveira,Dustin Poirier,0,1,73,58,0,0,3,0,Lightweight,SUB,Rear Naked Choke,3,1:02
"December 11, 2021","Las Vegas, Nevada, USA",win,Julianna Pena,Amanda Nunes,0,0,79,46,1,1,1,0,Women's Bantamweight,SUB,Rear Naked Choke,2,3:26
"December 11, 2021","Las Vegas, Nevada, USA",win,Geoff Neal,Santiago Ponzinibbio,0,0,85,91,0,1,0,0,Welterweight,S-DEC,,3,5:00
"December 11, 2021","Las Vegas, Nevada, USA",win,Kai Kara-France,Cody Garbrandt,2,0,23,9,0,0,0,0,Flyweight,KO/TKO,Punches,1,3:21
"December 11, 2021","Las Vegas, Nevada, USA",win,Sean O'Malley,Raulian Paiva,1,0,39,11,0,0,0,0,Bantamweight,KO/TKO,Punches,1,4:42
"December 11, 2021","Las Vegas, Nevada, USA",win,Josh Emmett,Dan Ige,1,0,60,70,0,1,0,0,Featherweight,U-DEC,,3,5:00
"December 11, 2021","Las Vegas, Nevada, USA",win,Dominick Cruz,Pedro Munhoz,0,1,103,74,1,0,0,0,Bantamweight,U-DEC,,3,5:00
"December 11, 2021","Las Vegas, Nevada, USA",win,Tai Tuivasa,Augusto Sakai,1,0,34,21,0,0,0,0,Heavyweight,KO/TKO,Punches,2,0:26
"December 11, 2021","Las Vegas, Nevada, USA",win,Bruno Silva,Jordan Wright,1,0,19,20,0,0,0,0,Middleweight,KO/TKO,Punches,1,1:28
"December 11, 2021","Las Vegas, Nevada, USA",win,Andre Muniz,Eryk Anders,0,0,8,3,2,0,2,0,Middleweight,SUB,Armbar,1,3:13
"December 11, 2021","Las Vegas, Nevada, USA",win,Erin Blanchfield,Miranda Maverick,0,0,46,21,7,0,1,0,Women's Flyweight,U-DEC,,3,5:00
"December 11, 2021","Las Vegas, Nevada, USA",win,Ryan Hall,Darrick Minner,0,0,40,26,0,1,7,0,Featherweight,U-DEC,,3,5:00
"December 11, 2021","Las Vegas, Nevada, USA",win,Tony Kelley,Randy Costa,0,0,82,31,0,0,0,0,Bantamweight,KO/TKO,Elbows,2,4:15
"December 11, 2021","Las Vegas, Nevada, USA",win,Gillian Robertson,Priscila Cachoeira,0,0,32,20,1,0,1,0,Women's Flyweight,SUB,Rear Naked Choke,1,4:59
