Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 06, 2011","Philadelphia, Pennsylvania, USA",win,Rashad Evans,Tito Ortiz,0,0,48,5,1,1,0,1,Light Heavyweight,KO/TKO,Knee,2,4:48
"August 06, 2011","Philadelphia, Pennsylvania, USA",win,Vitor Belfort,Yoshihiro Akiyama,2,0,12,1,0,0,0,0,Middleweight,KO/TKO,Punches,1,1:52
"August 06, 2011","Philadelphia, Pennsylvania, USA",win,Brian Ebersole,Dennis Hallman,0,0,19,0,0,1,0,1,Welterweight,KO/TKO,Elbows,1,4:28
"August 06, 2011","Philadelphia, Pennsylvania, USA",win,Constantinos Philippou,Jorge Rivera,1,0,35,25,2,1,1,0,Middleweight,S-DEC,,3,5:00
"August 06, 2011","Philadelphia, Pennsylvania, USA",win,Rory MacDonald,Mike Pyle,0,0,24,3,0,2,2,0,Welterweight,KO/TKO,Punches,1,3:54
"August 06, 2011","Philadelphia, Pennsylvania, USA",win,Alexander Gustafsson,Matt Hamill,1,0,37,13,0,0,0,0,Light Heavyweight,KO/TKO,Punches,2,3:34
"August 06, 2011","Philadelphia, Pennsylvania, USA",win,Chad Mendes,Rani Yahya,0,0,35,15,5,0,0,0,Featherweight,U-DEC,,3,5:00
"August 06, 2011","Philadelphia, Pennsylvania, USA",win,Ivan Menjivar,Nick Pace,0,0,61,31,0,2,0,1,Bantamweight,U-DEC,,3,5:00
"August 06, 2011","Philadelphia, Pennsylvania, USA",win,Johny Hendricks,Mike Pierce,0,0,54,37,1,1,0,0,Welterweight,S-DEC,,3,5:00
"August 06, 2011","Philadelphia, Pennsylvania, USA",win,Mike Brown,Nam Phan,0,0,60,38,5,0,0,0,Featherweight,U-DEC,,3,5:00
"August 06, 2011","Philadelphia, Pennsylvania, USA",win,Rafael Natal,Paul Bradley,0,0,43,13,0,3,0,0,Middleweight,U-DEC,,3,5:00
