Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 18, 2023","Las Vegas, Nevada, USA",win,Erin Blanchfield,Jessica Andrade,0,0,51,53,1,0,1,0,Women's Flyweight,SUB,Rear Naked Choke,2,1:37
"February 18, 2023","Las Vegas, Nevada, USA",win,Zac Pauga,Jordan Wright,0,0,59,29,0,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"February 18, 2023","Las Vegas, Nevada, USA",win,Jamal Pogues,Josh Parisian,0,0,33,37,5,1,0,0,Heavyweight,U-DEC,,3,5:00
"February 18, 2023","Las Vegas, Nevada, USA",win,Marcin Prachnio,William Knight,0,0,79,8,0,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"February 18, 2023","Las Vegas, Nevada, USA",win,Alexander Hernandez,Jim Miller,0,0,108,67,0,0,0,1,Lightweight,U-DEC,,3,5:00
"February 18, 2023","Las Vegas, Nevada, USA",win,Nazim Sadykhov,Evan Elder,0,1,64,70,1,1,0,0,Lightweight,KO/TKO,,3,0:38
"February 18, 2023","Las Vegas, Nevada, USA",win,Mayra Bueno Silva,Lina Lansberg,0,0,39,25,2,0,1,0,Women's Bantamweight,SUB,Kneebar,2,4:45
"February 18, 2023","Las Vegas, Nevada, USA",win,Jamall Emmers,Khusein Askhabov,0,0,62,30,1,0,0,0,Featherweight,U-DEC,,3,5:00
"February 18, 2023","Las Vegas, Nevada, USA",win,Philipe Lins,Ovince Saint Preux,1,0,18,1,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,0:49
"February 18, 2023","Las Vegas, Nevada, USA",win,AJ Fletcher,Themba Gorimbo,0,0,7,6,0,2,1,0,Welterweight,SUB,Guillotine Choke,2,1:37
"February 18, 2023","Las Vegas, Nevada, USA",win,Clayton Carpenter,Juancamilo Ronderos,0,0,3,1,0,1,3,0,Flyweight,SUB,Rear Naked Choke,1,3:13
