Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 24, 2015","Dublin, Leinster, Ireland",win,Louis Smolka,Paddy Holohan,0,0,59,16,0,4,2,0,Flyweight,SUB,Rear Naked Choke,2,4:09
"October 24, 2015","Dublin, Leinster, Ireland",win,Norman Parke,Reza Madadi,0,0,47,33,1,1,0,0,Lightweight,U-DEC,,3,5:00
"October 24, 2015","Dublin, Leinster, Ireland",drawdraw,Nicolas Dalby,Darren Till,0,1,84,49,2,0,0,0,Welterweight,M-DEC,,3,5:00
"October 24, 2015","Dublin, Leinster, Ireland",win,Neil Seery,Jon Delos Reyes,0,0,38,25,2,3,2,0,Flyweight,SUB,Guillotine Choke,2,4:12
"October 24, 2015","Dublin, Leinster, Ireland",win,Stevie Ray,Mickael Lebout,0,0,48,27,1,0,0,0,Lightweight,U-DEC,,3,5:00
"October 24, 2015","Dublin, Leinster, Ireland",win,Aisling Daly,Ericka Almeida,0,0,59,19,2,1,0,0,Women's Strawweight,U-DEC,,3,5:00
"October 24, 2015","Dublin, Leinster, Ireland",win,Krzysztof Jotko,Scott Askham,0,0,38,22,2,0,0,1,Middleweight,S-DEC,,3,5:00
"October 24, 2015","Dublin, Leinster, Ireland",win,Tom Breese,Cathal Pendred,1,0,23,5,0,0,0,0,Welterweight,KO/TKO,Punches,1,4:37
"October 24, 2015","Dublin, Leinster, Ireland",win,Darren Elkins,Robert Whiteford,0,0,40,23,7,1,2,0,Featherweight,U-DEC,,3,5:00
"October 24, 2015","Dublin, Leinster, Ireland",win,Garreth McLellan,Bubba Bush,0,0,97,8,2,3,1,0,Middleweight,KO/TKO,Punches,3,4:58
