Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 29, 2024","Las Vegas, Nevada, USA",win,Alex Pereira,Jiri Prochazka,2,0,38,7,0,0,0,0,Light Heavyweight,KO/TKO,Kick,2,0:13
"June 29, 2024","Las Vegas, Nevada, USA",win,Diego Lopes,Dan Ige,0,0,49,42,1,0,1,0,Catch Weight,U-DEC,,3,5:00
"June 29, 2024","Las Vegas, Nevada, USA",win,Roman Dolidze,Anthony Smith,0,0,100,51,1,0,0,0,Light Heavyweight,U-DEC,,3,5:00
"June 29, 2024","Las Vegas, Nevada, USA",win,Macy Chiasson,Mayra Bueno Silva,0,0,50,46,1,0,0,0,Women's Bantamweight,KO/TKO,,2,1:58
"June 29, 2024","Las Vegas, Nevada, USA",win,Ian Machado Garry,Michael Page,0,0,19,21,2,0,2,0,Welterweight,U-DEC,,3,5:00
"June 29, 2024","Las Vegas, Nevada, USA",win,Joe Pyfer,Marc-Andre Barriault,1,0,8,0,0,0,0,0,Middleweight,KO/TKO,Punch,1,1:25
"June 29, 2024","Las Vegas, Nevada, USA",win,Andre Fili,Cub Swanson,0,0,67,62,2,0,0,0,Featherweight,S-DEC,,3,5:00
"June 29, 2024","Las Vegas, Nevada, USA",win,Jean Silva,Charles Jourdain,2,0,34,23,0,3,0,0,Featherweight,KO/TKO,Punch,2,1:22
"June 29, 2024","Las Vegas, Nevada, USA",win,Payton Talbott,Yanis Ghemmouri,1,0,13,1,0,0,0,0,Bantamweight,KO/TKO,Punch,1,0:19
"June 29, 2024","Las Vegas, Nevada, USA",win,Gillian Robertson,Michelle Waterson-Gomez,0,0,77,21,2,1,2,0,Women's Strawweight,U-DEC,,3,5:00
"June 29, 2024","Las Vegas, Nevada, USA",win,Martin Buday,Andrei Arlovski,0,0,54,74,0,0,0,0,Heavyweight,S-DEC,,3,5:00
"June 29, 2024","Las Vegas, Nevada, USA",win,Rei Tsuruya,Carlos Hernandez,0,0,17,16,3,1,0,0,Flyweight,U-DEC,,3,5:00
"June 29, 2024","Las Vegas, Nevada, USA",win,Vinicius Oliveira,Ricky Simon,0,0,96,42,1,2,0,0,Bantamweight,U-DEC,,3,5:00
