Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"October 14, 2023","Las Vegas, Nevada, USA",win,Edson Barboza,Sodiq Yusuff,1,1,164,178,3,1,0,0,Featherweight,U-DEC,,5,5:00
"October 14, 2023","Las Vegas, Nevada, USA",win,Viviane Araujo,Jennifer Maia,0,0,24,41,2,2,1,0,Women's Flyweight,U-DEC,,3,5:00
"October 14, 2023","Las Vegas, Nevada, USA",win,Jonathan Martinez,Adrian Yanez,2,0,36,20,0,0,0,0,Bantamweight,KO/TKO,Kicks,2,2:26
"October 14, 2023","Las Vegas, Nevada, USA",win,Michel Pereira,Andre Petroski,1,0,6,0,0,0,0,0,Middleweight,KO/TKO,Punch,1,1:06
"October 14, 2023","Las Vegas, Nevada, USA",win,Christian Rodriguez,Cameron Saaiman,0,0,83,73,3,0,2,1,Bantamweight,U-DEC,,3,5:00
"October 14, 2023","Las Vegas, Nevada, USA",win,Darren Elkins,TJ Brown,0,0,11,15,5,2,2,0,Featherweight,SUB,Rear Naked Choke,3,2:23
"October 14, 2023","Las Vegas, Nevada, USA",win,Tainara Lisboa,Ravena Oliveira,0,0,18,15,3,2,0,0,Women's Bantamweight,U-DEC,,3,5:00
"October 14, 2023","Las Vegas, Nevada, USA",win,Terrance McKinney,Brendon Marotte,1,0,14,1,0,0,0,0,Lightweight,KO/TKO,Knee,1,0:20
"October 14, 2023","Las Vegas, Nevada, USA",win,Melissa Mullins,Irina Alekseeva,0,1,52,48,0,1,0,0,Women's Bantamweight,U-DEC,,3,5:00
"October 14, 2023","Las Vegas, Nevada, USA",win,Chris Gutierrez,Alatengheili,0,0,110,38,0,2,0,0,Bantamweight,U-DEC,,3,5:00
"October 14, 2023","Las Vegas, Nevada, USA",win,Emily Ducote,Ashley Yoder,0,0,117,102,1,0,0,0,Women's Strawweight,U-DEC,,3,5:00
