Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 14, 2015","Dallas, Texas, USA",win,Rafael Dos Anjos,Anthony Pettis,0,0,90,54,9,0,0,0,Lightweight,U-DEC,,5,5:00
"March 14, 2015","Dallas, Texas, USA",win,Joanna Jedrzejczyk,Carla Esparza,0,0,53,4,0,1,0,0,Women's Strawweight,KO/TKO,Punches,2,4:17
"March 14, 2015","Dallas, Texas, USA",win,Johny Hendricks,Matt Brown,0,0,36,23,9,0,0,0,Welterweight,U-DEC,,3,5:00
"March 14, 2015","Dallas, Texas, USA",win,Alistair Overeem,Roy Nelson,0,1,62,23,0,0,0,0,Heavyweight,U-DEC,,3,5:00
"March 14, 2015","Dallas, Texas, USA",win,Henry Cejudo,Chris Cariaso,0,0,50,22,6,0,1,0,Flyweight,U-DEC,,3,5:00
"March 14, 2015","Dallas, Texas, USA",win,Ross Pearson,Sam Stout,1,0,25,23,0,0,0,0,Lightweight,KO/TKO,Punch,2,1:33
"March 14, 2015","Dallas, Texas, USA",win,Elias Theodorou,Roger Narvaez,0,0,39,16,2,0,0,0,Middleweight,KO/TKO,Punches,2,4:07
"March 14, 2015","Dallas, Texas, USA",win,Beneil Dariush,Daron Cruickshank,0,0,27,17,1,0,2,0,Lightweight,SUB,Rear Naked Choke,2,2:38
"March 14, 2015","Dallas, Texas, USA",win,Jared Rosholt,Josh Copeland,0,0,22,9,2,0,0,0,Heavyweight,KO/TKO,Punches,3,3:12
"March 14, 2015","Dallas, Texas, USA",win,Ryan Benoit,Sergio Pettis,1,0,28,39,1,1,0,0,Flyweight,KO/TKO,Punch,2,1:34
"March 14, 2015","Dallas, Texas, USA",win,Joe Duffy,Jake Lindsey,1,0,15,6,0,0,0,0,Lightweight,KO/TKO,Punch,1,1:47
"March 14, 2015","Dallas, Texas, USA",win,Germaine de Randamie,Larissa Pacheco,0,0,29,8,0,0,0,0,Women's Bantamweight,KO/TKO,Punch,2,2:02
