Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"May 27, 2018","Liverpool, England, United Kingdom",win,Darren Till,Stephen Thompson,1,0,38,30,0,0,0,0,Welterweight,U-DEC,,5,5:00
"May 27, 2018","Liverpool, England, United Kingdom",win,Neil Magny,Craig White,1,0,18,6,0,0,0,0,Welterweight,KO/TKO,Knee,1,4:32
"May 27, 2018","Liverpool, England, United Kingdom",win,Arnold Allen,Mads Burnell,0,0,29,20,0,6,1,0,Featherweight,SUB,Guillotine Choke,3,2:41
"May 27, 2018","Liverpool, England, United Kingdom",win,Makwan Amirkhani,Jason Knight,0,2,27,29,3,0,0,1,Featherweight,S-DEC,,3,5:00
"May 27, 2018","Liverpool, England, United Kingdom",win,Claudio Silva,Nordine Taleb,0,0,18,6,1,1,1,0,Welterweight,SUB,Rear Naked Choke,1,4:31
"May 27, 2018","Liverpool, England, United Kingdom",win,Darren Stewart,Eric Spicely,1,0,34,15,0,0,0,0,Middleweight,KO/TKO,Punch,2,1:47
"May 27, 2018","Liverpool, England, United Kingdom",win,Tom Breese,Daniel Kelly,1,0,23,6,0,0,0,0,Middleweight,KO/TKO,Punch,1,3:33
"May 27, 2018","Liverpool, England, United Kingdom",win,Lina Lansberg,Gina Mazany,0,0,40,38,1,2,0,0,Women's Bantamweight,U-DEC,,3,5:00
"May 27, 2018","Liverpool, England, United Kingdom",win,Carlo Pedersoli Jr.,Brad Scott,0,1,67,58,3,0,0,0,Welterweight,S-DEC,,3,5:00
"May 27, 2018","Liverpool, England, United Kingdom",win,Gillian Robertson,Molly McCann,0,0,17,10,2,0,1,0,Women's Flyweight,SUB,Rear Naked Choke,2,2:05
"May 27, 2018","Liverpool, England, United Kingdom",win,Elias Theodorou,Trevor Smith,0,0,77,41,0,3,0,0,Middleweight,U-DEC,,3,5:00
