Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 26, 2022","Las Vegas, Nevada, USA",win,Islam Makhachev,King Green,0,0,14,9,1,0,0,0,Catch Weight,KO/TKO,Punches,1,3:23
"February 26, 2022","Las Vegas, Nevada, USA",win,Wellington Turman,Misha Cirkunov,0,0,15,30,0,1,2,1,Middleweight,SUB,Armbar,2,1:29
"February 26, 2022","Las Vegas, Nevada, USA",win,Priscila Cachoeira,Ji Yeon Kim,0,0,102,170,1,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"February 26, 2022","Las Vegas, Nevada, USA",win,Arman Tsarukyan,Joel Alvarez,0,0,36,7,2,0,0,0,Lightweight,KO/TKO,Punches,2,1:57
"February 26, 2022","Las Vegas, Nevada, USA",win,Armen Petrosyan,Gregory Rodrigues,0,0,127,61,0,2,0,2,Middleweight,S-DEC,,3,5:00
"February 26, 2022","Las Vegas, Nevada, USA",win,Ignacio Bahamondes,Rongzhu,0,0,126,48,0,1,2,0,Lightweight,SUB,Guillotine Choke,3,1:40
"February 26, 2022","Las Vegas, Nevada, USA",win,Josiane Nunes,Ramona Pascual,2,0,98,52,0,3,0,0,Women's Featherweight,U-DEC,,3,5:00
"February 26, 2022","Las Vegas, Nevada, USA",win,Terrance McKinney,Fares Ziam,0,0,3,1,0,0,1,0,Lightweight,SUB,Rear Naked Choke,1,2:11
"February 26, 2022","Las Vegas, Nevada, USA",win,Jonathan Martinez,Alejandro Perez,0,1,74,52,0,0,0,0,Featherweight,U-DEC,,3,5:00
"February 26, 2022","Las Vegas, Nevada, USA",win,Ramiz Brahimaj,Micheal Gillmore,0,0,0,0,1,0,3,0,Welterweight,SUB,Rear Naked Choke,1,2:02
"February 26, 2022","Las Vegas, Nevada, USA",win,Carlos Hernandez,Victor Altamirano,0,0,84,79,2,1,0,0,Flyweight,S-DEC,,3,5:00
