Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"January 18, 2015","Boston, Massachusetts, USA",win,Conor McGregor,Dennis Siver,1,0,64,32,0,0,0,0,Featherweight,KO/TKO,Punch,2,1:54
"January 18, 2015","Boston, Massachusetts, USA",win,Donald Cerrone,Benson Henderson,0,0,57,86,1,0,0,0,Lightweight,U-DEC,,3,5:00
"January 18, 2015","Boston, Massachusetts, USA",win,Uriah Hall,Ron Stallings,1,0,27,10,0,0,0,0,Middleweight,KO/TKO,,1,3:37
"January 18, 2015","Boston, Massachusetts, USA",win,Gleison Tibau,Norman Parke,0,0,38,43,2,0,0,0,Lightweight,S-DEC,,3,5:00
"January 18, 2015","Boston, Massachusetts, USA",win,Cathal Pendred,Sean Spencer,0,1,49,52,4,0,0,0,Welterweight,U-DEC,,3,5:00
"January 18, 2015","Boston, Massachusetts, USA",win,Lorenz Larkin,John Howard,1,0,29,10,0,0,0,0,Welterweight,KO/TKO,Punch,1,2:17
"January 18, 2015","Boston, Massachusetts, USA",win,Chris Wade,Zhang Lipeng,0,0,47,28,4,0,0,0,Lightweight,U-DEC,,3,5:00
"January 18, 2015","Boston, Massachusetts, USA",win,Paddy Holohan,Shane Howell,0,0,42,22,3,0,2,0,Flyweight,U-DEC,,3,5:00
"January 18, 2015","Boston, Massachusetts, USA",win,Johnny Case,Frankie Perez,0,0,59,16,4,1,0,1,Lightweight,KO/TKO,Punches,3,1:54
"January 18, 2015","Boston, Massachusetts, USA",win,Charles Rosa,Sean Soriano,0,0,37,69,5,3,4,0,Featherweight,SUB,D'Arce Choke,3,4:43
"January 18, 2015","Boston, Massachusetts, USA",win,Sean O'Connell,Matt Van Buren,1,0,66,100,0,0,0,0,Light Heavyweight,KO/TKO,Punches,3,2:11
"January 18, 2015","Boston, Massachusetts, USA",win,Joby Sanchez,Tateki Matsuda,1,0,58,55,2,0,1,0,Flyweight,S-DEC,,3,5:00
