Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 14, 2015","Broomfield, Colorado, USA",win,Benson Henderson,Brandon Thatch,0,0,57,44,3,2,1,0,Welterweight,SUB,Rear Naked Choke,4,3:58
"February 14, 2015","Broomfield, Colorado, USA",win,Max Holloway,Cole Miller,0,0,57,31,1,0,0,0,Featherweight,U-DEC,,3,5:00
"February 14, 2015","Broomfield, Colorado, USA",win,Neil Magny,Kiichi Kunimoto,0,0,76,10,3,1,1,0,Welterweight,SUB,Rear Naked Choke,3,1:22
"February 14, 2015","Broomfield, Colorado, USA",win,Daniel Kelly,Patrick Walsh,0,0,61,50,0,1,0,0,Middleweight,U-DEC,,3,5:00
"February 14, 2015","Broomfield, Colorado, USA",win,Kevin Lee,Michel Prazeres,0,0,62,33,4,3,3,0,Lightweight,U-DEC,,3,5:00
"February 14, 2015","Broomfield, Colorado, USA",win,Ray Borg,Chris Kelades,0,0,19,4,5,0,4,0,Flyweight,SUB,Kimura,3,2:56
"February 14, 2015","Broomfield, Colorado, USA",win,Efrain Escudero,Rodrigo de Lima,1,0,94,24,2,3,0,0,Lightweight,U-DEC,,3,5:00
"February 14, 2015","Broomfield, Colorado, USA",win,Chas Skelly,Jim Alers,1,0,42,33,0,1,0,1,Featherweight,KO/TKO,Punches,2,4:59
"February 14, 2015","Broomfield, Colorado, USA",win,Zach Makovsky,Tim Elliott,0,0,21,43,6,1,0,0,Flyweight,U-DEC,,3,5:00
"February 14, 2015","Broomfield, Colorado, USA",win,James Moontasri,Cody Pfister,0,0,32,12,0,0,1,0,Lightweight,SUB,Rear Naked Choke,2,1:49
