Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"April 16, 2014","Quebec City, Quebec, Canada",win,Tim Kennedy,Michael Bisping,0,0,51,40,5,0,0,0,Middleweight,U-DEC,,5,5:00
"April 16, 2014","Quebec City, Quebec, Canada",win,Patrick Cote,Kyle Noke,0,0,33,50,3,0,0,0,Welterweight,U-DEC,,3,5:00
"April 16, 2014","Quebec City, Quebec, Canada",win,Elias Theodorou,Sheldon Westcott,0,0,73,13,3,2,0,0,Middleweight,KO/TKO,Elbows,2,4:41
"April 16, 2014","Quebec City, Quebec, Canada",win,Chad Laprise,Olivier Aubin-Mercier,0,0,71,45,0,2,0,0,Welterweight,S-DEC,,3,5:00
"April 16, 2014","Quebec City, Quebec, Canada",win,Dustin Poirier,Akira Corassani,1,0,45,24,0,0,1,0,Featherweight,KO/TKO,Punch,2,0:42
"April 16, 2014","Quebec City, Quebec, Canada",win,KJ Noons,Sam Stout,1,0,7,5,0,0,0,0,Welterweight,KO/TKO,Punch,1,0:30
"April 16, 2014","Quebec City, Quebec, Canada",win,Sarah Kaufman,Leslie Smith,0,0,202,79,1,0,0,0,Women's Bantamweight,U-DEC,,3,5:00
"April 16, 2014","Quebec City, Quebec, Canada",win,Ryan Jimmo,Sean O'Connell,1,0,20,15,1,0,0,0,Light Heavyweight,KO/TKO,Punch,1,4:27
"April 16, 2014","Quebec City, Quebec, Canada",win,George Roop,Dustin Kimura,0,0,53,7,2,3,0,0,Bantamweight,U-DEC,,3,5:00
"April 16, 2014","Quebec City, Quebec, Canada",win,Mark Bocek,Mike de la Torre,0,0,70,57,3,1,0,0,Lightweight,S-DEC,,3,5:00
"April 16, 2014","Quebec City, Quebec, Canada",win,Nordine Taleb,Vik Grujic,0,0,48,4,4,0,0,0,Middleweight,U-DEC,,3,5:00
"April 16, 2014","Quebec City, Quebec, Canada",win,Richard Walsh,Chris Indich,0,0,71,12,5,0,0,2,Welterweight,U-DEC,,3,5:00
"April 16, 2014","Quebec City, Quebec, Canada",win,Mitch Gagnon,Tim Gorman,0,0,47,15,2,0,5,0,Bantamweight,U-DEC,,3,5:00
