Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"March 21, 2015","Rio de Janeiro, Brazil",win,Demian Maia,Ryan LaFlare,0,0,36,25,5,0,2,0,Welterweight,U-DEC,,5,5:00
"March 21, 2015","Rio de Janeiro, Brazil",win,Erick Silva,Josh Koscheck,0,0,14,4,0,0,1,0,Welterweight,SUB,Guillotine Choke,1,4:21
"March 21, 2015","Rio de Janeiro, Brazil",win,Leonardo Santos,Anthony Rocco Martin,0,0,12,14,1,0,1,0,Lightweight,SUB,Rear Naked Choke,2,2:29
"March 21, 2015","Rio de Janeiro, Brazil",win,Amanda Nunes,Shayna Baszler,1,0,15,1,0,0,0,0,Women's Bantamweight,KO/TKO,Kick,1,1:56
"March 21, 2015","Rio de Janeiro, Brazil",win,Gilbert Burns,Alex Oliveira,0,0,17,29,2,0,2,0,Lightweight,SUB,Armbar,3,4:14
"March 21, 2015","Rio de Janeiro, Brazil",win,Godofredo Pepey,Andre Fili,0,0,1,1,0,0,1,0,Featherweight,SUB,Triangle Choke,1,3:14
"March 21, 2015","Rio de Janeiro, Brazil",win,Francisco Trinaldo,Akbarh Arreola,0,0,39,34,3,0,0,0,Lightweight,U-DEC,,3,5:00
"March 21, 2015","Rio de Janeiro, Brazil",win,Edimilson Souza,Katsunori Kikuno,1,0,5,1,0,0,0,0,Featherweight,KO/TKO,Punch,1,1:31
"March 21, 2015","Rio de Janeiro, Brazil",ncnc,Leandro Silva,Drew Dober,0,0,25,22,2,0,1,0,Lightweight,Overturned,Guillotine Choke,2,2:45
"March 21, 2015","Rio de Janeiro, Brazil",win,Leonardo Mafra,Cain Carrizosa,0,1,94,44,5,0,0,0,Lightweight,U-DEC,,3,5:00
"March 21, 2015","Rio de Janeiro, Brazil",win,Christos Giagos,Jorge de Oliveira,0,0,18,0,1,0,1,0,Lightweight,SUB,Rear Naked Choke,1,3:12
"March 21, 2015","Rio de Janeiro, Brazil",win,Fredy Serrano,Bentley Syler,1,0,20,15,2,0,0,0,Flyweight,KO/TKO,Punch,3,1:34
