Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"February 01, 2014","Newark, New Jersey, USA",win,Renan Barao,Urijah Faber,1,0,17,8,0,0,0,0,Bantamweight,KO/TKO,Punch,1,3:42
"February 01, 2014","Newark, New Jersey, USA",win,Jose Aldo,Ricardo Lamas,0,0,62,41,2,1,2,0,Featherweight,U-DEC,,5,5:00
"February 01, 2014","Newark, New Jersey, USA",win,Alistair Overeem,Frank Mir,1,0,62,3,0,1,0,1,Heavyweight,U-DEC,,3,5:00
"February 01, 2014","Newark, New Jersey, USA",win,Ali Bagautinov,John Lineker,0,0,49,27,6,0,1,2,Flyweight,U-DEC,,3,5:00
"February 01, 2014","Newark, New Jersey, USA",win,Abel Trujillo,Jamie Varner,1,0,18,36,0,0,0,1,Lightweight,KO/TKO,Punch,2,2:32
"February 01, 2014","Newark, New Jersey, USA",win,Alan Patrick,John Makdessi,0,0,40,61,2,0,0,0,Lightweight,U-DEC,,3,5:00
"February 01, 2014","Newark, New Jersey, USA",win,Chris Cariaso,Danny Martinez,0,0,73,33,0,5,0,0,Flyweight,U-DEC,,3,5:00
"February 01, 2014","Newark, New Jersey, USA",win,Nick Catone,Tom Watson,0,0,31,50,5,0,0,0,Middleweight,S-DEC,,3,5:00
"February 01, 2014","Newark, New Jersey, USA",win,Al Iaquinta,Kevin Lee,1,0,49,39,0,1,1,2,Lightweight,U-DEC,,3,5:00
"February 01, 2014","Newark, New Jersey, USA",win,Clint Hester,Andy Enz,1,0,72,69,2,0,0,0,Middleweight,U-DEC,,3,5:00
"February 01, 2014","Newark, New Jersey, USA",win,Rashid Magomedov,Anthony Rocco Martin,0,0,46,18,0,1,1,1,Lightweight,U-DEC,,3,5:00
"February 01, 2014","Newark, New Jersey, USA",win,Neil Magny,Gasan Umalatov,0,0,71,34,1,2,0,0,Welterweight,U-DEC,,3,5:00
