Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"August 16, 2014","Bangor, Maine, USA",win,Ryan Bader,Ovince Saint Preux,0,0,24,24,9,2,1,0,Light Heavyweight,U-DEC,,5,5:00
"August 16, 2014","Bangor, Maine, USA",win,Ross Pearson,Gray Maynard,1,0,26,15,0,2,0,0,Lightweight,KO/TKO,Punch,2,1:35
"August 16, 2014","Bangor, Maine, USA",win,Tim Boetsch,Brad Tavares,2,0,14,24,1,0,0,0,Middleweight,KO/TKO,Punch,2,3:18
"August 16, 2014","Bangor, Maine, USA",win,Alan Jouban,Seth Baczynski,1,0,25,25,0,1,0,0,Welterweight,KO/TKO,Punch,1,4:23
"August 16, 2014","Bangor, Maine, USA",win,Shawn Jordan,Jack May,0,0,32,20,3,0,0,0,Heavyweight,KO/TKO,Punches,3,2:03
"August 16, 2014","Bangor, Maine, USA",win,Thiago Tavares,Robert Peralta,0,0,18,0,2,0,1,0,Featherweight,SUB,Rear Naked Choke,1,4:27
"August 16, 2014","Bangor, Maine, USA",win,Jussier Formiga,Zach Makovsky,0,0,11,25,2,1,0,0,Flyweight,U-DEC,,3,5:00
"August 16, 2014","Bangor, Maine, USA",win,Sara McMann,Lauren Murphy,0,0,38,48,5,0,0,0,Women's Bantamweight,S-DEC,,3,5:00
"August 16, 2014","Bangor, Maine, USA",win,Tom Watson,Sam Alvey,0,0,85,82,0,0,0,0,Middleweight,U-DEC,,3,5:00
"August 16, 2014","Bangor, Maine, USA",win,Frankie Saenz,Nolan Ticman,0,0,67,25,5,0,0,0,Bantamweight,U-DEC,,3,5:00
