Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"June 04, 2016","Los Angeles, California, USA",win,Michael Bisping,Luke Rockhold,2,0,21,17,0,0,0,0,Middleweight,KO/TKO,Punch,1,3:36
"June 04, 2016","Los Angeles, California, USA",win,Dominick Cruz,Urijah Faber,1,0,87,34,3,1,0,0,Bantamweight,U-DEC,,5,5:00
"June 04, 2016","Los Angeles, California, USA",win,Max Holloway,Ricardo Lamas,0,0,103,64,0,0,2,0,Featherweight,U-DEC,,3,5:00
"June 04, 2016","Los Angeles, California, USA",win,Dan Henderson,Hector Lombard,1,1,13,23,0,2,0,2,Middleweight,KO/TKO,Elbow,2,1:27
"June 04, 2016","Los Angeles, California, USA",win,Dustin Poirier,King Green,2,0,36,16,0,0,0,0,Lightweight,KO/TKO,Punch,1,2:53
"June 04, 2016","Los Angeles, California, USA",win,Brian Ortega,Clay Guida,1,1,62,62,0,0,0,0,Featherweight,KO/TKO,Knee,3,4:40
"June 04, 2016","Los Angeles, California, USA",win,Beneil Dariush,James Vick,2,0,46,9,0,0,0,0,Lightweight,KO/TKO,Punch,1,4:16
"June 04, 2016","Los Angeles, California, USA",win,Jessica Andrade,Jessica Penne,0,0,117,27,0,0,0,0,Women's Strawweight,KO/TKO,Punches,2,2:56
"June 04, 2016","Los Angeles, California, USA",win,Alex Caceres,Cole Miller,1,0,97,33,5,3,0,1,Featherweight,U-DEC,,3,5:00
"June 04, 2016","Los Angeles, California, USA",win,Sean Strickland,Tom Breese,0,0,73,62,0,0,0,0,Welterweight,S-DEC,,3,5:00
"June 04, 2016","Los Angeles, California, USA",win,Henrique da Silva,Jonathan Wilson,0,1,81,66,0,1,0,0,Light Heavyweight,KO/TKO,Punches,2,4:11
"June 04, 2016","Los Angeles, California, USA",drawdraw,Kevin Casey,Elvis Mutapcic,0,0,59,64,2,0,0,0,Middleweight,S-DEC,,3,5:00
"June 04, 2016","Los Angeles, California, USA",win,Marco Polo Reyes,Dong Hyun Ma,2,0,135,83,0,2,0,0,Lightweight,KO/TKO,Punch,3,1:52
