Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time
"July 29, 2017","Anaheim, California, USA",ncnc,Daniel Cormier,Jon Jones,0,1,58,95,0,0,0,0,Light Heavyweight,Overturned,Kick,3,3:01
"July 29, 2017","Anaheim, California, USA",win,Tyron Woodley,Demian Maia,1,0,57,28,0,0,0,0,Welterweight,U-DEC,,5,5:00
"July 29, 2017","Anaheim, California, USA",win,Cristiane Justino,Tonya Evinger,1,0,74,32,0,1,0,0,Women's Featherweight,KO/TKO,Knees,3,1:56
"July 29, 2017","Anaheim, California, USA",win,Robbie Lawler,Donald Cerrone,0,0,77,82,0,1,0,0,Welterweight,U-DEC,,3,5:00
"July 29, 2017","Anaheim, California, USA",win,Volkan Oezdemir,Jimi Manuwa,0,0,12,2,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,0:42
"July 29, 2017","Anaheim, California, USA",win,Ricardo Lamas,Jason Knight,0,0,42,8,1,0,0,0,Featherweight,KO/TKO,Punches,1,4:34
"July 29, 2017","Anaheim, California, USA",win,Aljamain Sterling,Renan Barao,0,0,71,19,1,2,0,0,Catch Weight,U-DEC,,3,5:00
"July 29, 2017","Anaheim, California, USA",win,Brian Ortega,Renato Moicano,0,0,65,109,0,2,1,0,Featherweight,SUB,Guillotine Choke,3,2:59
"July 29, 2017","Anaheim, California, USA",win,Calvin Kattar,Andre Fili,0,0,75,73,2,0,0,0,Featherweight,U-DEC,,3,5:00
"July 29, 2017","Anaheim, California, USA",win,Aleksandra Albu,Kailin Curran,0,0,82,86,5,1,0,0,Women's Strawweight,U-DEC,,3,5:00
"July 29, 2017","Anaheim, California, USA",win,Jarred Brooks,Eric Shelton,0,0,27,31,5,1,1,1,Flyweight,S-DEC,,3,5:00
"July 29, 2017","Anaheim, California, USA",win,Drew Dober,Joshua Burkman,1,0,15,11,0,0,0,0,Lightweight,KO/TKO,Punch,1,3:04
