Event_Date,Event_Location,W_L,Fighter_A,Fighter_B,KD_A,KD_B,STR_A,STR_B,TD_A,TD_B,SUB_A,SUB_B,Weight_Class,Method,Method_Detail,Round,Time,event_id,Time_seconds
2022-09-03,"Paris, Ile-de-France, France",win,Ciryl Gane,Tai Tuivasa,1,1,110,29,0,0,0,0,Heavyweight,KO/TKO,Punches,3,4:23,00a905a4a4a2b071,263
2022-09-03,"Paris, Ile-de-France, France",win,Robert Whittaker,Marvin Vettori,0,0,74,33,1,0,0,0,Middleweight,U-DEC,,3,5:00,00a905a4a4a2b071,300
2022-09-03,"Paris, Ile-de-France, France",win,Nassourdine Imavov,Joaquin Buckley,0,0,51,46,2,0,2,0,Middleweight,U-DEC,,3,5:00,00a905a4a4a2b071,300
2022-09-03,"Paris, Ile-de-France, France",win,Roman Kopylov,Alessio Di Chirico,1,0,59,39,0,0,0,0,Middleweight,KO/TKO,Punches,3,1:09,00a905a4a4a2b071,69
2022-09-03,"Paris, Ile-de-France, France",win,William Gomis,Jarno Errens,0,0,32,20,3,0,0,1,Featherweight,U-DEC,,3,5:00,00a905a4a4a2b071,300
2022-09-03,"Paris, Ile-de-France, France",win,Nathaniel Wood,Charles Jourdain,0,0,97,86,5,1,0,0,Featherweight,U-DEC,,3,5:00,00a905a4a4a2b071,300
2022-09-03,"Paris, Ile-de-France, France",win,Abus Magomedov,Dustin Stoltzfus,1,0,7,0,0,0,0,0,Middleweight,KO/TKO,Punches,1,0:19,00a905a4a4a2b071,19
2022-09-03,"Paris, Ile-de-France, France",win,Nasrat Haqparast,John Makdessi,1,0,64,73,2,0,0,0,Lightweight,U-DEC,,3,5:00,00a905a4a4a2b071,300
2022-09-03,"Paris, Ile-de-France, France",win,Fares Ziam,Michal Figlak,0,0,60,28,3,1,0,0,Lightweight,U-DEC,,3,5:00,00a905a4a4a2b071,300
2022-09-03,"Paris, Ile-de-France, France",win,Benoit Saint Denis,Gabriel Miranda,3,0,42,20,1,1,0,0,Lightweight,KO/TKO,Punch,2,0:16,00a905a4a4a2b071,16
2022-09-03,"Paris, Ile-de-France, France",win,Cristian Quinonez,Khalid Taha,0,0,19,6,0,0,0,0,Bantamweight,KO/TKO,Punches,1,3:15,00a905a4a4a2b071,195
2022-09-03,"Paris, Ile-de-France, France",win,Stephanie Egger,Ailin Perez,0,0,15,16,2,1,1,0,Women's Featherweight,SUB,Rear Naked Choke,2,4:54,00a905a4a4a2b071,294
2024-01-13,"Las Vegas, Nevada, USA",win,Magomed Ankalaev,Johnny Walker,1,0,39,24,0,0,0,0,Light Heavyweight,KO/TKO,Punch,2,2:42,010986ee359fb863,162
2024-01-13,"Las Vegas, Nevada, USA",win,Jim Miller,Gabriel Benitez,0,0,80,80,2,0,1,0,Lightweight,SUB,Neck Crank,3,3:25,010986ee359fb863,205
2024-01-13,"Las Vegas, Nevada, USA",win,Mario Bautista,Ricky Simon,0,0,112,45,0,2,0,0,Bantamweight,U-DEC,,3,5:00,010986ee359fb863,300
2024-01-13,"Las Vegas, Nevada, USA",win,Brunno Ferreira,Phil Hawes,1,0,19,13,1,0,0,0,Middleweight,KO/TKO,Punch,1,4:55,010986ee359fb863,295
2024-01-13,"Las Vegas, Nevada, USA",win,Waldo Cortes-Acosta,Andrei Arlovski,0,0,49,58,0,0,0,0,Heavyweight,U-DEC,,3,5:00,010986ee359fb863,300
2024-01-13,"Las Vegas, Nevada, USA",win,Preston Parsons,Matthew Semelsberger,0,0,47,28,7,1,2,2,Welterweight,U-DEC,,3,5:00,010986ee359fb863,300
2024-01-13,"Las Vegas, Nevada, USA",win,Marcus McGhee,Gaston Bolanos,1,0,65,28,1,0,0,0,Bantamweight,KO/TKO,Punches,2,3:29,010986ee359fb863,209
2024-01-13,"Las Vegas, Nevada, USA",win,Farid Basharat,Taylor Lapilus,0,0,42,40,5,0,1,0,Bantamweight,U-DEC,,3,5:00,010986ee359fb863,300
2024-01-13,"Las Vegas, Nevada, USA",win,Jean Silva,Westin Wilson,1,0,25,11,1,0,0,0,Featherweight,KO/TKO,Punch,1,4:12,010986ee359fb863,252
2024-01-13,"Las Vegas, Nevada, USA",win,Nikolas Motta,Tom Nolan,1,0,21,12,0,0,0,0,Lightweight,KO/TKO,Punches,1,1:03,010986ee359fb863,63
2024-01-13,"Las Vegas, Nevada, USA",win,Joshua Van,Felipe Bunes,1,0,83,50,1,2,0,0,Flyweight,KO/TKO,Punches,2,4:31,010986ee359fb863,271
2022-11-19,"Las Vegas, Nevada, USA",win,Kennedy Nzechukwu,Ion Cutelaba,1,0,24,9,0,2,0,0,Light Heavyweight,KO/TKO,Knee,2,1:02,012fc7cd0779c09a,62
2022-11-19,"Las Vegas, Nevada, USA",win,Waldo Cortes-Acosta,Chase Sherman,0,0,147,66,0,1,0,0,Heavyweight,U-DEC,,3,5:00,012fc7cd0779c09a,300
2022-11-19,"Las Vegas, Nevada, USA",win,Muslim Salikhov,Andre Fialho,0,0,56,17,1,0,0,0,Welterweight,KO/TKO,Kick,3,1:03,012fc7cd0779c09a,63
2022-11-19,"Las Vegas, Nevada, USA",win,Jack Della Maddalena,Danny Roberts,2,0,33,5,0,0,0,0,Welterweight,KO/TKO,Punches,1,3:24,012fc7cd0779c09a,204
2022-11-19,"Las Vegas, Nevada, USA",win,Charles Johnson,Zhalgas Zhumagulov,0,0,115,119,0,1,0,0,Flyweight,S-DEC,,3,5:00,012fc7cd0779c09a,300
2022-11-19,"Las Vegas, Nevada, USA",win,Jennifer Maia,Maryna Moroz,0,0,109,80,0,0,0,0,Women's Flyweight,U-DEC,,3,5:00,012fc7cd0779c09a,300
2022-11-19,"Las Vegas, Nevada, USA",win,Miles Johns,Vince Morales,0,0,38,39,1,0,0,0,Bantamweight,U-DEC,,3,5:00,012fc7cd0779c09a,300
2022-11-19,"Las Vegas, Nevada, USA",win,Ricky Turcios,Kevin Natividad,0,1,68,41,2,7,1,0,Bantamweight,S-DEC,,3,5:00,012fc7cd0779c09a,300
2022-11-19,"Las Vegas, Nevada, USA",win,Vanessa Demopoulos,Maria Oliveira,1,0,55,83,2,0,0,0,Women's Strawweight,U-DEC,,3,5:00,012fc7cd0779c09a,300
2022-11-19,"Las Vegas, Nevada, USA",win,Brady Hiestand,Fernie Garcia,0,0,19,21,3,1,1,1,Bantamweight,U-DEC,,3,5:00,012fc7cd0779c09a,300
2022-11-19,"Las Vegas, Nevada, USA",win,Natalia Silva,Tereza Bleda,1,0,45,18,0,1,0,2,Women's Flyweight,KO/TKO,Spinning Back Kick,3,1:27,012fc7cd0779c09a,87
2023-02-11,"Perth, Western Australia, Australia",win,Islam Makhachev,Alexander Volkanovski,0,1,57,70,4,0,0,0,Lightweight,U-DEC,,5,5:00,01dd4cdc2446f665,300
2023-02-11,"Perth, Western Australia, Australia",win,Yair Rodriguez,Josh Emmett,0,0,62,22,0,1,1,0,Featherweight,SUB,Triangle Choke,2,4:19,01dd4cdc2446f665,259
2023-02-11,"Perth, Western Australia, Australia",win,Jack Della Maddalena,Randy Brown,1,0,14,11,0,0,1,0,Welterweight,SUB,Rear Naked Choke,1,2:13,01dd4cdc2446f665,133
2023-02-11,"Perth, Western Australia, Australia",win,Justin Tafa,Parker Porter,1,0,8,7,0,0,0,0,Heavyweight,KO/TKO,Punch,1,1:06,01dd4cdc2446f665,66
2023-02-11,"Perth, Western Australia, Australia",drawdraw,Jimmy Crute,Alonzo Menifield,0,2,31,56,6,0,3,0,Light Heavyweight,M-DEC,,3,5:00,01dd4cdc2446f665,300
2023-02-11,"Perth, Western Australia, Australia",win,Modestas Bukauskas,Tyson Pedro,0,0,44,45,0,2,0,0,Light Heavyweight,U-DEC,,3,5:00,01dd4cdc2446f665,300
2023-02-11,"Perth, Western Australia, Australia",win,Josh Culibao,Melsik Baghdasaryan,0,0,16,26,0,0,1,0,Featherweight,SUB,Rear Naked Choke,2,2:02,01dd4cdc2446f665,122
2023-02-11,"Perth, Western Australia, Australia",win,Kleydson Rodrigues,Shannon Ross,1,0,14,1,0,0,0,0,Flyweight,KO/TKO,Punches,1,0:59,01dd4cdc2446f665,59
